Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
HGFF11,Fundo de Fundos,64.24,336693.09,0.77,0.68,1.06 ,3.01 ,6.00 ,13.08 ,1.00 ,1.00 ,1.09 ,9.11 ,-5.42 ,-4.42 ,6.96 ,234290424.18,81.82,0.79,0.83 ,-5.78 ,-5.00 ,0.08 ,14,17.30,15247,,0.80  aa,20.00  aa
HGIC11,Papéis,67.00,9374.70,0.66,0.80,1.16 ,3.43 ,6.51 ,13.78 ,1.14 ,1.09 ,1.15 ,9.04 ,-1.19 ,-0.04 ,-10.25 ,51320999.36,110.91,0.60,0.72 ,-3.32 ,-2.62 ,15.77 ,2,55.90,612,,,
HGLG11,Imóveis Industriais e Logísticos,151.98,4333962.22,0.93,1.10,0.71 ,2.09 ,4.27 ,8.74 ,0.70 ,0.71 ,0.73 ,5.76 ,-3.10 ,-2.41 ,12.80 ,5498583897.35,162.74,0.93,0.68 ,5.65 ,6.37 ,23.31 ,28,12.18,506054,,0.60  aa,
HGPO11,Lajes Corporativas,135.70,4483236.04,0.97,57.05,48.22 ,0.00 ,0.00 ,51.25 ,0.00 ,0.00 ,4.27 ,62.51 ,5.05 ,55.71 ,101.25 ,245955667.64,155.61,0.87,36.66 ,-48.02 ,-28.96 ,-15.36 ,2,11.06,10214,,,
HGRE11,Lajes Corporativas,108.11,958038.35,0.70,0.85,0.76 ,3.63 ,6.00 ,10.81 ,1.21 ,1.00 ,0.90 ,7.68 ,-7.26 ,-6.56 ,23.88 ,1840540878.33,155.74,0.69,0.55 ,-0.73 ,-0.19 ,0.12 ,13,20.94,142900,,1.00  aa,
HGRS11,Imóveis Residenciais,,,,29.32,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,118155565.38,92.86,,0.00 ,0.00 ,0.00 ,0.00 ,14,,8102,,,
HGRU11,Misto,122.49,2169769.09,0.96,0.95,0.77 ,2.75 ,5.07 ,10.72 ,0.92 ,0.85 ,0.89 ,7.61 ,-0.73 ,0.04 ,23.12 ,2968593925.25,127.75,0.96,0.70 ,3.95 ,4.69 ,19.01 ,104,12.88,221395,,0.70  aa,20.00  aa
HILG11,Indefinido,184.96,186.67,0.90,1.44,0.00 ,0.00 ,2.19 ,5.83 ,0.00 ,0.37 ,0.49 ,3.51 ,0.00 ,0.00 ,,107618817.57,,,,,,,1,9.50,104,,,
HLOG11,Imóveis Industriais e Logísticos,8.19,57247.65,0.73,0.07,0.85 ,2.42 ,4.93 ,8.32 ,0.81 ,0.82 ,0.69 ,6.29 ,-0.72 ,0.12 ,11.19 ,469333781.84,11.04,0.74,0.59 ,-90.52 ,-90.47 ,-89.43 ,4,12.81,3720,,0.80  aa,
HOFC11,Lajes Corporativas,27.60,892798.52,0.43,0.21,0.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.01 ,75.72 ,76.86 ,67.59 ,247631451.45,,,,,,,3,47.49,5245,,0.83  aa,-1.00  aa
HOSI11,Imóveis Residenciais,82.60,3535.32,0.93,0.65,0.78 ,2.84 ,5.11 ,9.77 ,0.95 ,0.85 ,0.81 ,5.93 ,-4.83 ,-4.08 ,2.73 ,52247856.96,91.11,0.91,1.27 ,-1.03 ,0.23 ,6.03 ,14,37.13,1169,,,
HPDP11,Shoppings,89.00,1079620.78,0.97,0.56,0.00 ,1.25 ,3.18 ,7.07 ,0.42 ,0.53 ,0.59 ,4.53 ,0.00 ,0.00 ,,304674701.25,92.66,0.96,0.60 ,3.81 ,4.44 ,4.20 ,1,28.56,366,,,
HRDF11,Fundo de Desenvolvimento,3.00,11.67,0.43,6.80,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,10703440.80,,,,,,,14,47.25,910,,,
HREC11,Papéis,8.15,158375.22,0.93,0.09,1.01 ,3.18 ,6.57 ,13.11 ,1.06 ,1.10 ,1.09 ,8.93 ,0.24 ,1.25 ,23.20 ,453519687.47,8.77,0.93,1.03 ,-90.13 ,-90.03 ,-89.03 ,14,19.53,2630,,0.80  aa,20.00  aa
HRES11,Imóveis Residenciais,147.64,477.60,1.14,1.65,0.00 ,0.00 ,4.01 ,6.65 ,0.00 ,0.67 ,0.83 ,5.58 ,0.00 ,0.00 ,,60387832.96,,,,,,,14,5.53,136,,,
HSAF11,Papéis,76.75,211825.52,0.88,0.95,1.21 ,3.57 ,7.28 ,14.96 ,1.19 ,1.21 ,1.25 ,10.55 ,-1.53 ,-0.34 ,25.22 ,223613939.10,88.51,0.87,1.07 ,-3.10 ,-2.06 ,6.84 ,14,22.56,8914,,1.00  aa,20.00  aa
HSLG11,Imóveis Industriais e Logísticos,78.40,384763.65,0.72,0.66,0.82 ,2.38 ,4.89 ,10.64 ,0.79 ,0.82 ,0.89 ,6.85 ,-2.37 ,-1.57 ,13.63 ,1398230000.23,110.44,0.71,0.59 ,5.24 ,5.86 ,7.33 ,6,17.52,41240,,0.85  aa,20.00  aa
HSML11,Shoppings,79.64,1659577.48,0.76,0.66,0.83 ,2.35 ,4.78 ,10.71 ,0.78 ,0.80 ,0.89 ,6.86 ,-6.22 ,-5.45 ,9.97 ,2182644730.91,104.89,0.76,0.62 ,7.49 ,8.16 ,13.82 ,13,16.68,188980,1.05  aa,,20.00  aa
HSRE11,Misto,101.50,1725728.83,1.13,0.85,0.84 ,3.22 ,5.18 ,11.49 ,1.07 ,0.86 ,0.96 ,7.05 ,2.53 ,3.39 ,16.43 ,800089570.15,89.91,1.13,0.72 ,-6.38 ,-5.71 ,0.29 ,24,22.34,364,,,
HTMX11,Hotéis,140.27,329312.87,0.97,1.22,0.85 ,2.99 ,4.80 ,14.83 ,1.00 ,0.80 ,1.24 ,8.25 ,-1.09 ,-0.25 ,9.13 ,418606197.51,144.94,0.97,1.06 ,3.27 ,4.37 ,20.77 ,22,18.66,37348,,0.50  aa,20.00  aa
HUCG11,Hospitalar,101.50,186.50,1.00,0.53,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,115079912.51,,,,,,,1,54.14,234,,,
HUSC11,Hospitalar,94.91,2024.75,0.63,0.86,0.00 ,1.83 ,4.59 ,10.28 ,0.61 ,0.77 ,0.86 ,6.69 ,0.00 ,0.00 ,,126474750.31,148.65,0.64,0.58 ,1.29 ,1.88 ,10.22 ,2,48.85,752,,,
HUSI11,Hospitalar,1241.00,1241.00,1.00,8.42,0.00 ,1.37 ,2.79 ,7.05 ,0.46 ,0.47 ,0.59 ,0.71 ,0.00 ,0.00 ,,145118032.78,1247.13,1.00,0.69 ,25.57 ,26.44 ,32.99 ,14,42.12,100,,,
IAAG11,Indefinido,7.73,80032.43,0.76,0.11,1.44 ,4.30 ,8.23 ,15.52 ,1.43 ,1.37 ,1.29 ,11.13 ,4.37 ,5.87 ,6.14 ,102136674.18,9.77,0.79,1.02 ,0.00 ,0.00 ,0.00 ,0,26.80,13270,,1.15  aa,20.00  aa
IAGR11,Indefinido,3.81,10664.52,0.60,0.01,0.15 ,0.15 ,0.61 ,2.29 ,0.15 ,0.61 ,0.19 ,1.03 ,-3.18 ,-3.03 ,45.49 ,17527841.08,6.26,0.61,0.10 ,0.00 ,0.00 ,0.00 ,0,32.63,3579,,,
IBBP11,Indefinido,8.00,18053.22,0.92,0.07,0.87 ,1.70 ,4.24 ,5.99 ,0.57 ,0.71 ,0.86 ,5.99 ,-0.12 ,0.75 ,-4.72 ,395689679.30,,,,,,,24,42.29,440,,,
IBCR11,Papéis,54.94,90100.61,0.60,0.84,1.42 ,4.71 ,9.53 ,18.32 ,1.57 ,1.59 ,1.53 ,11.12 ,3.57 ,5.04 ,27.22 ,86308371.72,90.05,0.61,1.00 ,-4.12 ,-3.16 ,5.03 ,14,17.02,3842,0.80  aa,0.20  aa,20.00  aa
IBFF11,Fundo de Fundos,66.40,162549.50,1.04,14.79,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.25 ,0.00 ,0.00 ,,118155565.38,14.78,4.49,100.08 ,-79.09 ,-58.15 ,-58.47 ,14,4.20,8102,,,
ICNE11,Imóveis Residenciais,653.96,,0.89,0.58,0.00 ,0.00 ,1.68 ,7.64 ,0.00 ,0.28 ,0.64 ,7.64 ,0.00 ,0.00 ,,88343992.91,,,,,,,14,6.66,5,,,
ICRI11,Misto,91.85,375497.00,0.94,1.10,1.17 ,3.38 ,7.01 ,15.66 ,1.13 ,1.17 ,1.31 ,10.12 ,-2.81 ,-1.67 ,19.76 ,385727410.73,,,,,,,14,19.31,8943,,1.00  aa,
IDFI11,Indefinido,2.00,2592.80,1.25,1.56,78.04 ,0.00 ,0.00 ,418.46 ,0.00 ,0.00 ,34.87 ,1043.04 ,-54.34 ,-18.70 ,44259.43 ,3283391.87,1.60,1.25,269.79 ,-97.14 ,-89.43 ,-91.38 ,1,82.65,617,,,
IDGR11,Misto,1.50,332.83,16.67,0.09,5.99 ,0.00 ,0.00 ,66.25 ,0.00 ,0.00 ,5.52 ,5.99 ,-50.98 ,-48.04 ,-48.04 ,79368.95,,,,,,,1,118.98,171,,,
IDUA11,Imóveis Comerciais - Outros,64.42,,0.90,4.59,0.00 ,0.00 ,2.34 ,10.08 ,0.00 ,0.39 ,0.84 ,12.00 ,0.00 ,0.00 ,,28805119.10,,,,,,,14,9.46,1,,,
IFRA11,Indefinido,92.80,1062715.87,,1.03,1.06 ,3.83 ,6.94 ,13.64 ,1.28 ,1.16 ,1.14 ,9.16 ,0.82 ,1.88 ,15.26 ,,,,,,,,0,18.51,0,,0.85  aa,
IFRI11,Misto,97.11,1288859.17,,1.67,1.74 ,1.74 ,5.93 ,12.24 ,0.58 ,0.99 ,1.02 ,7.89 ,1.07 ,2.83 ,16.51 ,,,,,,,,0,16.92,0,,0.85  aa,
IMOV11,Indefinido,,,,0.10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,500469713.59,,,,,,,14,,13027,,,
INFA11,Outros,9.82,,,0.09,0.00 ,0.00 ,12.94 ,16.31 ,0.00 ,2.16 ,2.04 ,14.56 ,0.00 ,0.00 ,,,,,,,,,0,2.41,0,,,
INFB11,Indefinido,99.00,7971.88,,1.00,0.99 ,0.99 ,2.10 ,5.21 ,0.99 ,0.53 ,1.30 ,2.10 ,12.70 ,13.82 ,9.66 ,,,,,,,,0,44.00,0,,,
INLG11,Imóveis Industriais e Logísticos,73.39,82960.78,0.73,0.77,1.04 ,3.10 ,6.39 ,12.97 ,1.03 ,1.07 ,1.08 ,8.74 ,-2.56 ,-1.54 ,19.86 ,452380097.84,,,,,,,5,17.34,17656,,0.46  aa,
INRD11,Fundo de Desenvolvimento,70.66,10847.39,0.60,0.63,0.88 ,2.55 ,5.46 ,11.01 ,0.85 ,0.91 ,0.92 ,7.38 ,-4.37 ,-3.53 ,20.82 ,134027873.65,,,,,,,5,16.89,7099,,1.00  aa,
IRDM11,Papéis,63.08,4444645.26,0.74,0.84,1.24 ,3.67 ,7.29 ,15.05 ,1.22 ,1.22 ,1.25 ,8.85 ,0.06 ,1.30 ,28.24 ,3018082901.63,82.84,0.76,0.99 ,-10.73 ,-9.85 ,-6.23 ,1,15.57,276870,0.83  aa,0.17  aa,
IRIF11,Papéis,8.62,29765.83,,0.11,1.24 ,2.50 ,6.26 ,6.26 ,0.83 ,1.04 ,1.04 ,6.26 ,2.18 ,3.45 ,10.26 ,,,,,,,,0,39.17,0,,,
IRIM11,Indefinido,67.40,105327.70,0.77,0.90,1.30 ,3.78 ,7.54 ,15.91 ,1.26 ,1.26 ,1.33 ,9.33 ,2.18 ,3.51 ,33.76 ,166019583.84,86.47,0.78,0.96 ,-11.15 ,-10.30 ,-6.89 ,14,19.31,2530,,,
ISCJ11,Papéis,81.00,980.00,0.36,20.00,20.00 ,21.38 ,21.98 ,25.74 ,7.13 ,3.66 ,2.15 ,26.36 ,14.94 ,37.93 ,58.04 ,42177004.46,,,,,,,14,67.32,59,,,
ITIP11,Papéis,64.25,26876.43,0.94,0.80,1.21 ,3.62 ,7.12 ,13.24 ,1.21 ,1.19 ,1.10 ,9.21 ,0.30 ,1.52 ,13.19 ,52396013.70,70.03,0.92,1.14 ,-12.56 ,-11.56 ,-9.46 ,14,15.78,8848,,,
ITIT11,Fundo de Fundos,67.88,54265.35,0.90,0.63,0.91 ,2.68 ,5.51 ,10.97 ,0.89 ,0.92 ,0.91 ,7.43 ,-0.23 ,0.68 ,14.93 ,68624871.90,76.21,0.89,0.81 ,-3.48 ,-2.70 ,3.83 ,14,13.21,10414,,0.30  aa,
ITRI11,Shoppings,76.50,526340.30,0.83,0.82,1.03 ,3.10 ,6.15 ,12.71 ,1.03 ,1.03 ,1.06 ,8.34 ,-2.50 ,-1.50 ,15.77 ,598503223.42,,,,,,,14,16.79,15902,,1.20  aa,-1.00  aa
IVCI11,Papéis,96.86,,0.98,1.42,0.00 ,0.00 ,4.49 ,8.33 ,0.00 ,0.75 ,1.04 ,5.17 ,0.00 ,0.00 ,,49384882.72,,,,,,,0,3.36,16,,,
JASC11,Imóveis Comerciais - Outros,98.50,11478.25,0.87,0.67,0.00 ,0.64 ,2.52 ,5.51 ,0.64 ,0.42 ,0.46 ,3.16 ,0.00 ,0.00 ,,394977165.15,,,,,,,19,49.51,167,,,
JBFO11,Papéis,15.03,82.00,1.92,0.04,0.00 ,0.00 ,0.50 ,111.75 ,0.00 ,0.50 ,9.31 ,0.77 ,0.00 ,0.00 ,,9864392.02,,,,,,,14,103.63,369,,,
JCCJ11,Papéis,161.00,3997660.14,0.83,0.36,0.00 ,0.23 ,1.07 ,2.89 ,0.23 ,0.18 ,0.24 ,1.37 ,0.00 ,0.00 ,,316690599.39,,,,,,,14,24.92,123,,,
JCIN11,Fundo de Fundos,150.00,14741507.14,0.95,0.62,0.00 ,0.00 ,1.11 ,3.14 ,0.00 ,0.19 ,0.26 ,1.52 ,0.00 ,0.00 ,,207217425.71,,,,,,,14,19.90,9,,,
JFLL11,Imóveis Residenciais,67.42,13352.39,0.63,0.40,0.57 ,2.30 ,4.44 ,9.60 ,0.77 ,0.74 ,0.80 ,6.00 ,-0.27 ,0.30 ,7.22 ,160366274.57,106.87,0.63,0.53 ,5.83 ,6.40 ,15.62 ,2,17.72,2603,,,
JGPX11,Indefinido,71.50,261109.83,0.75,1.20,1.64 ,3.54 ,6.35 ,13.63 ,1.18 ,1.06 ,1.14 ,8.53 ,14.76 ,16.65 ,40.90 ,205673202.93,96.05,0.74,0.57 ,0.08 ,0.66 ,11.61 ,0,33.74,5991,1.00  aa,0.18  aa,20.00  aa
JMBI11,Outros,83.10,624232.26,,1.10,1.29 ,2.62 ,6.53 ,9.17 ,0.87 ,1.09 ,1.02 ,9.17 ,-0.40 ,0.89 ,10.95 ,,,,,,,,0,42.35,0,,1.25  aa,20.00  aa
JPPA11,Papéis,78.09,47875.70,0.80,1.06,1.34 ,4.20 ,8.20 ,17.22 ,1.40 ,1.37 ,1.44 ,11.61 ,-1.66 ,-0.34 ,20.55 ,88119199.24,97.47,0.80,1.09 ,-0.86 ,0.21 ,12.78 ,14,14.54,6706,,1.05  aa,20.00  aa
JRDM11,Shoppings,85.00,610682.00,1.33,7.83,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,0.00 ,0.00 ,,118155565.38,88.84,0.96,0.45 ,-1.16 ,-0.71 ,7.23 ,14,9.34,8102,,,
JSAF11,Fundo de Fundos,7.30,1137089.74,0.81,0.09,1.23 ,3.53 ,7.27 ,14.49 ,1.18 ,1.21 ,1.21 ,10.00 ,-6.33 ,-5.18 ,8.98 ,699102470.95,9.02,0.81,1.01 ,-90.40 ,-90.30 ,-89.53 ,14,24.40,21808,1.00  aa,,20.00  aa
JSCR11,Papéis,8.09,284085.17,0.86,0.10,1.14 ,3.40 ,7.07 ,65.73 ,1.13 ,1.18 ,5.48 ,21.27 ,-0.60 ,0.54 ,38.86 ,208096950.62,,,,,,,14,31.61,3765,,,
JSRE11,Misto,62.64,961159.30,0.61,0.48,0.75 ,2.21 ,4.66 ,9.80 ,0.74 ,0.78 ,0.82 ,6.47 ,-3.38 ,-2.66 ,25.21 ,2117039977.37,101.94,0.61,0.47 ,-9.76 ,-9.34 ,-5.37 ,6,19.71,88749,,1.00  aa,20.00  aa
JURO11,Indefinido,96.20,2561239.30,,1.00,1.02 ,3.04 ,6.21 ,11.75 ,1.01 ,1.04 ,0.98 ,7.64 ,-0.43 ,0.59 ,10.89 ,,,,,,,,0,14.80,0,,1.00  aa,
KCRE11,Indefinido,8.48,250722.83,0.89,0.11,1.26 ,4.05 ,7.73 ,14.28 ,1.35 ,1.29 ,1.19 ,10.38 ,-3.10 ,-1.88 ,18.72 ,344467744.56,9.57,0.89,1.46 ,-90.23 ,-90.08 ,-89.97 ,14,16.83,15571,,1.20  aa,
KDIF11,Indefinido,119.03,2133580.57,,1.25,1.04 ,2.86 ,6.39 ,12.22 ,0.95 ,1.07 ,1.02 ,8.43 ,-5.84 ,-4.87 ,11.63 ,,,,,,,,0,16.46,0,,1.11  aa,
KDOL11,Misto,93.67,141764.87,0.92,0.45,0.48 ,1.45 ,3.02 ,4.44 ,0.48 ,0.50 ,0.56 ,3.92 ,-1.61 ,-1.14 ,-3.13 ,67913502.47,101.22,0.93,0.41 ,0.00 ,0.00 ,0.00 ,0,24.13,1983,,,
KEVE11,Fundo de Desenvolvimento,850.00,54726.63,1.48,34.53,0.00 ,0.00 ,5.23 ,29.78 ,0.00 ,0.87 ,2.48 ,8.30 ,0.00 ,0.00 ,,84657766.50,555.84,1.53,2.44 ,-40.37 ,-38.92 ,-41.27 ,14,186.01,450,,,
KFEN11,Indefinido,1100.00,1571.43,1.15,9.22,0.00 ,0.00 ,3.28 ,4.40 ,0.00 ,0.55 ,0.73 ,4.40 ,0.00 ,0.00 ,,170549927.62,,,,,,,14,31.84,129,,,
KFOF11,Fundo de Fundos,75.01,617075.87,0.86,0.75,0.96 ,2.79 ,5.83 ,12.12 ,0.93 ,0.97 ,1.01 ,8.10 ,-3.86 ,-2.93 ,18.89 ,621816542.79,88.65,0.85,0.85 ,-2.44 ,-1.62 ,3.86 ,14,16.47,28804,,0.92  aa,20.00  aa
KINP11,Fundo de Desenvolvimento,10.00,38394.20,0.16,2.90,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,19.95 ,0.00 ,0.00 ,,118155565.38,,,0.00 ,-100.00 ,0.00 ,0.00 ,14,12.74,8102,,,
KISU11,Fundo de Fundos,6.74,345070.22,0.84,0.07,1.02 ,3.02 ,6.06 ,12.02 ,1.01 ,1.01 ,1.00 ,8.18 ,-1.30 ,-0.29 ,11.07 ,357983276.20,8.10,0.83,0.86 ,-7.11 ,-6.31 ,-4.14 ,14,18.50,107620,,0.60  aa,
KIVO11,Papéis,64.88,259454.22,0.77,0.95,1.38 ,4.57 ,9.04 ,17.63 ,1.52 ,1.51 ,1.47 ,12.42 ,-2.62 ,-1.28 ,19.73 ,188883701.32,,,,,,,14,24.89,6734,,1.15  aa,10.00  aa
KNCA11,Indefinido,91.10,1720997.52,0.91,1.25,1.33 ,3.68 ,7.41 ,14.52 ,1.23 ,1.24 ,1.21 ,10.01 ,-4.05 ,-2.78 ,21.16 ,2217557831.37,,,0.00 ,-100.00 ,0.00 ,0.00 ,0,20.45,75268,1.20  aa,,
KNCR11,Papéis,103.29,8134775.17,1.01,1.35,1.29 ,3.59 ,6.86 ,13.02 ,1.20 ,1.14 ,1.09 ,9.00 ,-0.19 ,1.10 ,18.60 ,7790099315.25,101.82,1.01,1.18 ,1.06 ,2.25 ,15.74 ,14,9.80,414915,1.00  aa,,
KNHF11,Indefinido,90.69,2381207.52,0.90,1.00,1.10 ,3.27 ,6.49 ,13.18 ,1.09 ,1.08 ,1.10 ,8.87 ,-3.18 ,-2.12 ,25.80 ,1962693381.64,,,,,,,3,17.95,43522,,1.20  aa,
KNHY11,Papéis,100.50,2280521.13,1.01,1.30,1.28 ,3.88 ,7.71 ,14.54 ,1.29 ,1.29 ,1.21 ,10.23 ,-1.09 ,0.17 ,19.23 ,2793036416.69,99.15,1.01,1.36 ,1.43 ,2.81 ,16.14 ,14,11.37,25693,,1.60  aa,
KNIP11,Papéis,86.30,4446361.83,0.94,0.80,0.92 ,2.95 ,6.68 ,12.70 ,0.98 ,1.11 ,1.06 ,9.04 ,-4.37 ,-3.49 ,13.65 ,7381774473.40,92.18,0.94,1.13 ,-1.79 ,-0.68 ,8.42 ,14,9.76,72779,,1.00  aa,
KNOX11,Indefinido,101.79,297651.95,,2.64,2.68 ,2.68 ,2.68 ,8.58 ,0.89 ,0.45 ,0.72 ,2.68 ,6.21 ,9.06 ,9.06 ,,,,,,,,0,25.07,0,,,
KNPR11,Indefinido,,,,3.30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,54885857.18,,,,,,,14,,593,,,
KNRE11,Fundo de Desenvolvimento,0.25,2207.52,0.39,0.00,1.68 ,1.68 ,338.66 ,338.66 ,0.56 ,56.44 ,28.22 ,338.66 ,575.00 ,586.34 ,1099.67 ,12410539.50,0.76,0.33,9.22 ,0.00 ,9.22 ,0.46 ,14,374.44,5977,,0.04  aa,20.00  aa
KNRI11,Misto,139.37,4366024.43,0.85,1.00,0.70 ,2.08 ,4.28 ,8.87 ,0.69 ,0.71 ,0.74 ,5.83 ,-1.46 ,-0.77 ,20.34 ,4598154320.06,163.03,0.85,0.61 ,2.00 ,2.62 ,11.19 ,20,15.99,299245,1.11  aa,,
KNSC11,Papéis,8.50,2800400.17,0.98,0.10,1.13 ,3.26 ,6.85 ,13.37 ,1.09 ,1.14 ,1.11 ,9.24 ,-0.89 ,0.23 ,22.00 ,1781246617.52,8.81,0.96,1.14 ,-90.00 ,-89.89 ,-88.83 ,14,15.16,219913,1.20  aa,,
KNUQ11,Indefinido,103.98,1545675.30,1.02,1.50,1.43 ,4.08 ,7.79 ,14.61 ,1.36 ,1.30 ,1.22 ,10.26 ,0.10 ,1.53 ,21.69 ,1550598377.86,,,,,,,14,11.12,36093,,1.40  aa,
KOPA11,Indefinido,900.01,278260.13,0.95,19.73,2.11 ,5.58 ,10.66 ,20.94 ,1.86 ,1.78 ,1.75 ,17.85 ,-0.86 ,1.23 ,55.01 ,349885384.75,,,0.00 ,0.00 ,0.00 ,0.00 ,0,27.89,3537,,2.00  aa,20.00  aa
KORE11,Lajes Corporativas,69.06,2385823.91,0.64,1.25,1.71 ,4.62 ,9.35 ,18.82 ,1.54 ,1.56 ,1.57 ,12.79 ,-12.39 ,-10.89 ,11.20 ,1019573723.22,,,,,,,4,23.82,24721,,1.06  aa,
KRES11,Misto,,,,0.00,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,231579046.50,,,,,,,1,,131,,,
LAFI11,Misto,116.58,580325.25,1.03,4.94,4.30 ,4.30 ,4.30 ,12.22 ,4.30 ,4.30 ,12.22 ,12.22 ,-1.98 ,2.24 ,2.24 ,86900712.37,111.46,1.05,4.43 ,0.00 ,0.00 ,0.00 ,0,44.80,1270,,,
LASC11,Shoppings,96.18,145919.82,0.71,5.73,5.65 ,10.29 ,12.46 ,15.72 ,3.43 ,2.08 ,1.31 ,13.28 ,1.51 ,7.25 ,13.30 ,397036305.08,135.03,0.71,0.63 ,26.24 ,27.04 ,27.58 ,2,34.98,403,,,
LAVF11,Indefinido,,,,1.30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,118155565.38,,,,,,,14,,8102,,,
LFTT11,Papéis,6.60,14241.83,0.48,1.74,25.82 ,58.86 ,139.26 ,59723349.74 ,19.62 ,23.21 ,4976945.81 ,139.26 ,-4.66 ,19.96 ,604.07 ,45148172.48,57.65,0.11,1.20 ,43.98 ,45.71 ,-48.65 ,51,304.17,714,,,
LGCP11,Imóveis Industriais e Logísticos,82.95,163106.04,0.65,0.80,1.13 ,3.17 ,5.76 ,10.78 ,1.06 ,0.96 ,0.90 ,10.78 ,-7.22 ,-6.17 ,-7.05 ,457171677.92,101.32,0.82,0.79 ,-1.43 ,-0.65 ,7.48 ,5,9.47,19183,,0.46  aa,
LIFE11,Imóveis Comerciais - Outros,8.52,440335.39,0.88,0.12,1.34 ,4.06 ,8.31 ,17.56 ,1.35 ,1.39 ,1.46 ,11.54 ,0.11 ,1.45 ,16.42 ,376945358.39,,,,,,,14,27.18,17142,,1.38  aa,20.00  aa
LLAO11,Misto,57.20,57.00,1.10,7.31,11.32 ,0.00 ,11.32 ,13.43 ,0.00 ,1.89 ,1.92 ,11.32 ,-2.11 ,8.97 ,8.97 ,18811597.16,,,,,,,13,25.26,77,,,
LOFT11B,Fundo de Desenvolvimento,29.90,,29.31,47.90,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,142.96 ,0.00 ,0.00 ,,1999372.83,,,,,,,2,,8,,,
LPLP11,Indefinido,560.00,685.00,1.62,1.21,0.00 ,0.00 ,1.16 ,5.40 ,0.00 ,0.19 ,0.45 ,11.25 ,0.00 ,0.00 ,,193907290.56,,,,,,,14,38.01,14,,,
LRDI11,Indefinido,80.54,81.00,0.97,5.95,0.00 ,0.00 ,13.52 ,13.52 ,0.00 ,13.52 ,13.52 ,13.52 ,0.00 ,0.00 ,,30805678.41,,,,,,,14,144.20,101,,,
LSAG11,Indefinido,74.50,46384.26,0.77,1.20,1.59 ,4.42 ,8.63 ,18.57 ,1.47 ,1.44 ,1.55 ,13.88 ,-1.72 ,-0.16 ,28.21 ,99162872.71,,,0.00 ,0.00 ,0.00 ,0.00 ,0,21.22,2855,,,
LSOI11,Misto,85.00,,7.89,0.10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,12992114.48,,,,,,,2,,18,,,
LSPA11,Papéis,24.01,453.61,1.15,20.85,86.84 ,0.00 ,0.00 ,210.27 ,0.00 ,0.00 ,17.52 ,299.45 ,0.00 ,86.84 ,153.73 ,8473824.04,,,,,,,14,80.17,727,,,
LTMT11,Imóveis Residenciais,94.53,53693.00,1.00,8.38,8.80 ,0.00 ,0.00 ,8.80 ,0.00 ,0.00 ,8.80 ,8.80 ,0.00 ,0.00 ,,11811175.48,,,,,,,1,30.98,110,,,
LUGG11,Imóveis Residenciais,72.82,23956.00,0.55,0.59,0.88 ,2.59 ,5.08 ,9.23 ,0.86 ,0.85 ,0.77 ,9.23 ,-3.20 ,-2.35 ,-10.08 ,132968746.75,117.60,0.62,0.51 ,-7.97 ,-7.50 ,-0.34 ,5,10.07,7962,,1.00  aa,
LVBI11,Imóveis Industriais e Logísticos,103.40,2306650.04,0.86,0.75,0.73 ,2.20 ,4.55 ,9.84 ,0.73 ,0.76 ,0.82 ,6.39 ,-0.61 ,0.11 ,18.23 ,1896241753.56,117.64,0.88,0.64 ,1.85 ,2.50 ,7.77 ,10,18.10,130848,0.80  aa,,
